Local time,Open,High,Low,Close,Volume
25.03.2020 22:00:00.000 GMT+0100,1.08812,1.10587,1.08698,1.10302,282164.0377
26.03.2020 22:00:00.000 GMT+0100,1.10298,1.11473,1.09533,1.11379,258445.03510000004
29.03.2020 23:00:00.000 GMT+0200,1.11172,1.11440,1.10100,1.10427,194602.40800000002
30.03.2020 23:00:00.000 GMT+0200,1.10427,1.10545,1.09265,1.10299,315910.11240000004
31.03.2020 23:00:00.000 GMT+0200,1.10286,1.10390,1.09026,1.09616,271412.5952
01.04.2020 23:00:00.000 GMT+0200,1.09619,1.09684,1.08206,1.08561,296971.64759999997
02.04.2020 23:00:00.000 GMT+0200,1.08557,1.08645,1.07727,1.07955,271889.1714
05.04.2020 23:00:00.000 GMT+0200,1.08082,1.08354,1.07683,1.07920,283322.8869
06.04.2020 23:00:00.000 GMT+0200,1.07920,1.09263,1.07835,1.08904,284007.76769999997
07.04.2020 23:00:00.000 GMT+0200,1.08903,1.09019,1.08299,1.08564,236735.98729999995
08.04.2020 23:00:00.000 GMT+0200,1.08559,1.09516,1.08409,1.09285,262590.7752
09.04.2020 23:00:00.000 GMT+0200,1.09286,1.09524,1.09192,1.09326,150858.0519
12.04.2020 23:00:00.000 GMT+0200,1.09482,1.09678,1.08926,1.09120,164411.332
13.04.2020 23:00:00.000 GMT+0200,1.09109,1.09871,1.09029,1.09798,227195.63299999997
14.04.2020 23:00:00.000 GMT+0200,1.09794,1.09907,1.08564,1.09066,242782.58039999998
15.04.2020 23:00:00.000 GMT+0200,1.09076,1.09111,1.08166,1.08386,272079.09299999994
16.04.2020 23:00:00.000 GMT+0200,1.08386,1.08926,1.08119,1.08711,265342.1323
19.04.2020 23:00:00.000 GMT+0200,1.08748,1.08967,1.08411,1.08607,205688.84410000002
20.04.2020 23:00:00.000 GMT+0200,1.08611,1.08802,1.08165,1.08564,269583.29000000004
21.04.2020 23:00:00.000 GMT+0200,1.08563,1.08852,1.08032,1.08229,216659.88310000004
22.04.2020 23:00:00.000 GMT+0200,1.08226,1.08466,1.07560,1.07760,279221.89479999995
23.04.2020 23:00:00.000 GMT+0200,1.07760,1.08294,1.07271,1.08196,236007.129
26.04.2020 23:00:00.000 GMT+0200,1.08211,1.08602,1.08112,1.08286,204454.82760000002
27.04.2020 23:00:00.000 GMT+0200,1.08282,1.08884,1.08097,1.08186,214232.41580000005
28.04.2020 23:00:00.000 GMT+0200,1.08186,1.08856,1.08183,1.08724,216037.6051
29.04.2020 23:00:00.000 GMT+0200,1.08741,1.09726,1.08330,1.09539,287628.55189999996
30.04.2020 23:00:00.000 GMT+0200,1.09539,1.10187,1.09344,1.09777,195288.9336
03.05.2020 23:00:00.000 GMT+0200,1.09676,1.09736,1.08956,1.09058,218738.9784
04.05.2020 23:00:00.000 GMT+0200,1.09063,1.09258,1.08258,1.08377,231702.35030000002
05.05.2020 23:00:00.000 GMT+0200,1.08377,1.08456,1.07819,1.07930,243295.8837
06.05.2020 23:00:00.000 GMT+0200,1.07934,1.08339,1.07665,1.08331,232904.04
07.05.2020 23:00:00.000 GMT+0200,1.08340,1.08756,1.08151,1.08371,172159.1877
10.05.2020 23:00:00.000 GMT+0200,1.08265,1.08504,1.08005,1.08061,213421.74189999996
11.05.2020 23:00:00.000 GMT+0200,1.08059,1.08851,1.07843,1.08472,208817.5735
12.05.2020 23:00:00.000 GMT+0200,1.08475,1.08965,1.08116,1.08176,229573.0747
13.05.2020 23:00:00.000 GMT+0200,1.08176,1.08239,1.07748,1.08040,213507.68880000003
14.05.2020 23:00:00.000 GMT+0200,1.08042,1.08509,1.07888,1.08183,205052.6019
17.05.2020 23:00:00.000 GMT+0200,1.08088,1.09270,1.07999,1.09154,201086.1499
18.05.2020 23:00:00.000 GMT+0200,1.09155,1.09759,1.09021,1.09221,249931.14400000006
19.05.2020 23:00:00.000 GMT+0200,1.09219,1.09989,1.09186,1.09771,214430.10099999997
