Local time,Open,High,Low,Close,Volume
11.07.2024 23:00:00.000 GMT+0200,1.08673,1.09113,1.08614,1.09054,228169.16079999998
12.07.2024 23:00:00.000 GMT+0200,1.09054,1.09054,1.09054,1.09054,0
13.07.2024 23:00:00.000 GMT+0200,1.09054,1.09054,1.09054,1.09054,0
14.07.2024 23:00:00.000 GMT+0200,1.08852,1.09222,1.08818,1.08938,217393.3715
15.07.2024 23:00:00.000 GMT+0200,1.08938,1.09054,1.08715,1.08990,215787.36
16.07.2024 23:00:00.000 GMT+0200,1.08984,1.09480,1.08950,1.09386,247998.05169999998
17.07.2024 23:00:00.000 GMT+0200,1.09384,1.09410,1.08935,1.08964,229666.193
18.07.2024 23:00:00.000 GMT+0200,1.08956,1.09017,1.08756,1.08779,206134.92930000002
19.07.2024 23:00:00.000 GMT+0200,1.08779,1.08779,1.08779,1.08779,0
20.07.2024 23:00:00.000 GMT+0200,1.08779,1.08779,1.08779,1.08779,0
21.07.2024 23:00:00.000 GMT+0200,1.08861,1.09027,1.08730,1.08908,201051.45960000003
22.07.2024 23:00:00.000 GMT+0200,1.08908,1.08967,1.08438,1.08533,187369.8801
23.07.2024 23:00:00.000 GMT+0200,1.08528,1.08664,1.08256,1.08397,230245.07019999996
24.07.2024 23:00:00.000 GMT+0200,1.08396,1.08699,1.08282,1.08450,272128.8901
25.07.2024 23:00:00.000 GMT+0200,1.08448,1.08681,1.08420,1.08547,170522.7193
26.07.2024 23:00:00.000 GMT+0200,1.08547,1.08547,1.08547,1.08547,0
27.07.2024 23:00:00.000 GMT+0200,1.08547,1.08547,1.08547,1.08547,0
28.07.2024 23:00:00.000 GMT+0200,1.08553,1.08700,1.08028,1.08212,167502.18100000004
29.07.2024 23:00:00.000 GMT+0200,1.08203,1.08356,1.07982,1.08151,192559.1802
30.07.2024 23:00:00.000 GMT+0200,1.08144,1.08493,1.08019,1.08256,312679.4429
31.07.2024 23:00:00.000 GMT+0200,1.08256,1.08354,1.07774,1.07911,308639.60039999994
01.08.2024 23:00:00.000 GMT+0200,1.07911,1.09265,1.07818,1.09098,373954.3298
02.08.2024 23:00:00.000 GMT+0200,1.09098,1.09098,1.09098,1.09098,0
03.08.2024 23:00:00.000 GMT+0200,1.09098,1.09098,1.09098,1.09098,0
04.08.2024 23:00:00.000 GMT+0200,1.09225,1.10088,1.08923,1.09505,641822.5912999997
05.08.2024 23:00:00.000 GMT+0200,1.09500,1.09631,1.09037,1.09313,405104.46919999993
06.08.2024 23:00:00.000 GMT+0200,1.09299,1.09366,1.09053,1.09220,219897.90899999999
07.08.2024 23:00:00.000 GMT+0200,1.09210,1.09451,1.08814,1.09181,237871.47070000006
08.08.2024 23:00:00.000 GMT+0200,1.09174,1.09313,1.09090,1.09167,142329.0003
09.08.2024 23:00:00.000 GMT+0200,1.09167,1.09167,1.09167,1.09167,0
10.08.2024 23:00:00.000 GMT+0200,1.09167,1.09167,1.09167,1.09167,0
