Local time,Open,High,Low,Close,Volume
26.06.2016 23:00:00.000 GMT+0200,1.10073,1.10837,1.09709,1.10238,305642.89920000004
27.06.2016 23:00:00.000 GMT+0200,1.10237,1.11116,1.10101,1.10633,241222.94040000002
28.06.2016 23:00:00.000 GMT+0200,1.10628,1.11303,1.10494,1.11235,244211.24849999993
29.06.2016 23:00:00.000 GMT+0200,1.11239,1.11545,1.10241,1.11064,274947.80870000005
30.06.2016 23:00:00.000 GMT+0200,1.11061,1.11693,1.10720,1.11365,231580.11999999997
03.07.2016 23:00:00.000 GMT+0200,1.11253,1.11595,1.10979,1.11523,152214.8191
04.07.2016 23:00:00.000 GMT+0200,1.11533,1.11863,1.10623,1.10746,213970.11159999997
05.07.2016 23:00:00.000 GMT+0200,1.10756,1.11116,1.10291,1.10996,243265.82029999996
06.07.2016 23:00:00.000 GMT+0200,1.10996,1.11072,1.10526,1.10617,204540.48950000003
07.07.2016 23:00:00.000 GMT+0200,1.10604,1.11201,1.10018,1.10497,199960.8095
10.07.2016 23:00:00.000 GMT+0200,1.10456,1.10746,1.10159,1.10564,198073.3606
11.07.2016 23:00:00.000 GMT+0200,1.10563,1.11259,1.10521,1.10599,219158.32239999995
12.07.2016 23:00:00.000 GMT+0200,1.10602,1.11199,1.10420,1.10892,224822.32929999995
13.07.2016 23:00:00.000 GMT+0200,1.10884,1.11648,1.10875,1.11169,240710.66090000002
14.07.2016 23:00:00.000 GMT+0200,1.11163,1.11488,1.10248,1.10295,231826.34090000004
17.07.2016 23:00:00.000 GMT+0200,1.10454,1.10842,1.10376,1.10749,184778.68110000002
18.07.2016 23:00:00.000 GMT+0200,1.10747,1.10804,1.10000,1.10195,202060.5882
19.07.2016 23:00:00.000 GMT+0200,1.10196,1.10301,1.09815,1.10134,644212.3132999999
20.07.2016 23:00:00.000 GMT+0200,1.10134,1.10599,1.09796,1.10243,1105321.0470000003
21.07.2016 23:00:00.000 GMT+0200,1.10243,1.10410,1.09555,1.09754,994620.8085000002
24.07.2016 23:00:00.000 GMT+0200,1.09713,1.09987,1.09519,1.09947,896479.6619999999
25.07.2016 23:00:00.000 GMT+0200,1.09947,1.10298,1.09783,1.09862,870568.3505000001
26.07.2016 23:00:00.000 GMT+0200,1.09862,1.10648,1.09612,1.10579,889236.8282999998
27.07.2016 23:00:00.000 GMT+0200,1.10579,1.11195,1.10519,1.10755,1119339.148
28.07.2016 23:00:00.000 GMT+0200,1.10748,1.11974,1.10727,1.11726,1109986.5247
31.07.2016 23:00:00.000 GMT+0200,1.11726,1.11836,1.11552,1.11611,818361.1352000001
01.08.2016 23:00:00.000 GMT+0200,1.11611,1.12336,1.11578,1.12215,1029100.5538999999
02.08.2016 23:00:00.000 GMT+0200,1.12215,1.12268,1.11406,1.11491,905255.4234999999
03.08.2016 23:00:00.000 GMT+0200,1.11491,1.11563,1.11140,1.11273,952442.7042
04.08.2016 23:00:00.000 GMT+0200,1.11273,1.11612,1.10458,1.10854,875836.2855
07.08.2016 23:00:00.000 GMT+0200,1.10777,1.11049,1.10721,1.10877,793851.7997999999
08.08.2016 23:00:00.000 GMT+0200,1.10879,1.11225,1.10705,1.11163,813734.9725000003
09.08.2016 23:00:00.000 GMT+0200,1.11164,1.11901,1.11121,1.11753,897185.7345000001
